199,-59,-0.3,0.11,-1.15,-22.98,7.94,93.57,258,1
200,-78,-0.21,0.15,-1.27,4.03,-22.15,73.48,259,1
201,-56,-0.24,0.03,-1.46,58.08,-53.98,37.49,261,1
202,-58,-0.06,-0.11,-1.35,65.85,-58.74,61.43,262,1
203,-55,0.02,-0.14,-1.21,74.2,-60.95,137.56,263,1
204,-55,0,-0.01,-1.07,72.27,-75.15,178.15,264,1
205,-53,-0.06,0.09,-1.1,73.99,-84.71,171.58,265,1
206,-57,0.02,-0.09,-1.05,23.58,-59.62,35.03,269,1
207,-53,-0.01,-0.13,-0.96,28.41,-57.72,62.89,270,1
208,-54,0,-0.05,-0.98,29.49,-54.16,74.76,271,1
209,-56,-0.04,0.03,-1.04,43.5,-50.78,65.76,272,1
210,-53,-0.16,0.05,-0.98,59.49,-36.63,17.08,274,1
211,-55,-0.26,-0.07,-1.01,54.09,-5.44,-1.12,276,1
212,-55,-0.25,-0.08,-1.15,24.28,24.44,9.35,277,1
213,-53,-0.34,-0.02,-1.16,1.73,48.19,33.56,278,1
214,-55,-0.36,0.03,-1.09,-12.66,76.58,69.45,279,1
215,-62,-0.3,0.1,-0.91,-26.17,72.6,89.69,280,1
216,-64,-0.3,0.19,-0.87,-34.72,53.15,105.25,281,1
217,-57,-0.21,0.32,-1.01,-40.06,27.56,56.36,282,1
218,-56,-0.37,0.27,-1.37,12.56,16.82,-95.03,284,1
219,-57,-0.18,0.01,-1.1,16.11,27.64,-103.19,285,1
220,-55,-0.1,-0.14,-0.96,7.33,30.11,-37.85,286,1
221,-55,-0.12,-0.17,-0.92,-13.93,26.7,25.62,287,1
222,-56,-0.19,-0.09,-0.96,-29.85,24.12,75.27,288,1
223,-58,-0.31,0.04,-0.97,-35.55,28.77,75.23,289,1
224,-60,-0.29,0.09,-0.99,-29.19,32.53,54.23,290,1
225,-63,-0.25,0.05,-1.18,-21.54,3.79,77.32,293,1
226,-64,-0.24,0.1,-1.44,20.76,-26.18,61.62,295,1
227,-64,-0.11,-0.01,-1.48,29.2,-45.98,56.76,296,1
228,-72,-0.07,-0.01,-1.31,35.73,-61.24,74.67,297,1
229,-61,-0.03,0.07,-1.09,56.42,-76.76,105.13,298,1
230,-56,-0.09,0.05,-0.99,69.82,-87.08,117.79,299,1
231,-60,-0.06,-0.04,-1.09,61.81,-88.59,115.44,300,1
232,-57,-0.19,-0.08,-1.18,35.74,-81.68,91.86,301,1
233,-58,-0.09,-0.09,-1.18,13.47,-67.21,61.82,302,1
234,-74,0.03,-0.17,-1.06,10.05,-55.22,76.38,303,1
